@Epot = -3173.963 Ekin = 4.778 (T=12322K) Etot = -3169.185 kcal/mol Step = 0   #VENUS EVIBS: 0.30026172822848757 0.24742690403600479 0.0
@Epot = -3181.589 Ekin = 12.404 (T=31987K) Etot = -3169.185 kcal/mol Step = 0   #VENUS EVIBS: 0.5390938668713948 0.008594765393097567 0.0
@Epot = -3181.815 Ekin = 12.630 (T=32570K) Etot = -3169.185 kcal/mol Step = 0   #VENUS EVIBS: 0.4507872056882268 0.0969014265762656 0.0
@Epot = -3176.683 Ekin = 7.489 (T=19313K) Etot = -3169.194 kcal/mol Step = 0   #VENUS EVIBS: 0.23166405226813916 0.3160245799963532 0.0
@Epot = -3181.503 Ekin = 12.319 (T=31767K) Etot = -3169.185 kcal/mol Step = 0   #VENUS EVIBS: 0.5281704490988354 0.019518183165657 0.0
@Epot = -3177.455 Ekin = 8.270 (T=21325K) Etot = -3169.185 kcal/mol Step = 0   #VENUS EVIBS: 0.4348162062216383 0.11287242604285411 0.0
@Epot = -3179.069 Ekin = 9.895 (T=25516K) Etot = -3169.175 kcal/mol Step = 0   #VENUS EVIBS: 0.09504110651893016 0.4526475257455623 0.0
@Epot = -3169.971 Ekin = 0.792 (T=2042K) Etot = -3169.180 kcal/mol Step = 0   #VENUS EVIBS: 0.31153205883225177 0.2361565734322406 0.0
@Epot = -3180.445 Ekin = 11.262 (T=29042K) Etot = -3169.183 kcal/mol Step = 0   #VENUS EVIBS: 0.5107294065100167 0.036959225754475605 0.0
@Epot = -3172.371 Ekin = 3.186 (T=8216K) Etot = -3169.185 kcal/mol Step = 0   #VENUS EVIBS: 0.11239975731033762 0.43528887495415475 0.0
@Epot = -3181.615 Ekin = 12.430 (T=32055K) Etot = -3169.185 kcal/mol Step = 0   #VENUS EVIBS: 0.010901735720609132 0.5367868965438832 0.0
@Epot = -3179.731 Ekin = 10.554 (T=27216K) Etot = -3169.177 kcal/mol Step = 0   #VENUS EVIBS: 0.46508435074425225 0.08260428152024003 0.0
@Epot = -3181.549 Ekin = 12.364 (T=31885K) Etot = -3169.185 kcal/mol Step = 0   #VENUS EVIBS: 0.3976271507164895 0.15006148154800283 0.0
@Epot = -3171.798 Ekin = 2.617 (T=6749K) Etot = -3169.181 kcal/mol Step = 0   #VENUS EVIBS: 0.41520262202739994 0.13248601023709242 0.0
@Epot = -3172.446 Ekin = 3.259 (T=8405K) Etot = -3169.186 kcal/mol Step = 0   #VENUS EVIBS: 0.10821078487354033 0.4394778473909521 0.0
@Epot = -3171.932 Ekin = 2.759 (T=7116K) Etot = -3169.173 kcal/mol Step = 0   #VENUS EVIBS: 0.40999459314893877 0.13769403911555364 0.0
@Epot = -3181.815 Ekin = 12.630 (T=32570K) Etot = -3169.185 kcal/mol Step = 0   #VENUS EVIBS: 0.23742714167652804 0.3102614905879644 0.0
@Epot = -3180.340 Ekin = 11.155 (T=28765K) Etot = -3169.186 kcal/mol Step = 0   #VENUS EVIBS: 0.2553495258186432 0.2923391064458492 0.0
@Epot = -3179.079 Ekin = 9.904 (T=25541K) Etot = -3169.174 kcal/mol Step = 0   #VENUS EVIBS: 0.42808609729626623 0.11960253496822616 0.0
@Epot = -3178.387 Ekin = 9.201 (T=23728K) Etot = -3169.186 kcal/mol Step = 0   #VENUS EVIBS: 0.17733316649108594 0.37035546577340644 0.0
@Epot = -3181.189 Ekin = 12.003 (T=30954K) Etot = -3169.186 kcal/mol Step = 0   #VENUS EVIBS: 0.05280446931975236 0.4948841629447401 0.0
@Epot = -3173.124 Ekin = 3.941 (T=10162K) Etot = -3169.183 kcal/mol Step = 0   #VENUS EVIBS: 0.4846068703202994 0.06308176194419295 0.0
@Epot = -3181.552 Ekin = 12.367 (T=31892K) Etot = -3169.184 kcal/mol Step = 0   #VENUS EVIBS: 0.5354252636814046 0.01226336858308777 0.0
@Epot = -3181.815 Ekin = 12.630 (T=32570K) Etot = -3169.185 kcal/mol Step = 0   #VENUS EVIBS: 0.3399572289390906 0.20773140332540177 0.0
@Epot = -3174.854 Ekin = 5.662 (T=14602K) Etot = -3169.192 kcal/mol Step = 0   #VENUS EVIBS: 0.08765619962465913 0.4600324326398331 0.0
@Epot = -3181.815 Ekin = 12.630 (T=32570K) Etot = -3169.185 kcal/mol Step = 0   #VENUS EVIBS: 0.24031952740669757 0.3073691048577948 0.0
@Epot = -3170.431 Ekin = 1.247 (T=3215K) Etot = -3169.185 kcal/mol Step = 0   #VENUS EVIBS: 0.541964570549614 0.005724061714878316 0.0
@Epot = -3174.219 Ekin = 5.046 (T=13014K) Etot = -3169.172 kcal/mol Step = 0   #VENUS EVIBS: 0.5423418382535492 0.005346794010943141 0.0
@Epot = -3181.815 Ekin = 12.630 (T=32570K) Etot = -3169.185 kcal/mol Step = 0   #VENUS EVIBS: 0.2562688448213357 0.2914197874431566 0.0
@Epot = -3181.815 Ekin = 12.630 (T=32570K) Etot = -3169.185 kcal/mol Step = 0   #VENUS EVIBS: 0.23178113534867079 0.3159074969158216 0.0
@Epot = -3177.627 Ekin = 8.439 (T=21764K) Etot = -3169.188 kcal/mol Step = 0   #VENUS EVIBS: 0.37923643425224796 0.16845219801224443 0.0
@Epot = -3171.714 Ekin = 2.531 (T=6526K) Etot = -3169.183 kcal/mol Step = 0   #VENUS EVIBS: 0.06952133137343104 0.4781673008910613 0.0
@Epot = -3177.558 Ekin = 8.381 (T=21612K) Etot = -3169.177 kcal/mol Step = 0   #VENUS EVIBS: 0.15684796380844568 0.3908406684560467 0.0
@Epot = -3180.132 Ekin = 10.947 (T=28231K) Etot = -3169.184 kcal/mol Step = 0   #VENUS EVIBS: 0.13519193032048943 0.4124967019440029 0.0
@Epot = -3169.466 Ekin = 0.287 (T=740K) Etot = -3169.179 kcal/mol Step = 0   #VENUS EVIBS: 0.3127722722038087 0.23491636006068364 0.0
@Epot = -3175.153 Ekin = 5.969 (T=15394K) Etot = -3169.183 kcal/mol Step = 0   #VENUS EVIBS: 0.2851016375048402 0.2625869947596522 0.0
@Epot = -3173.906 Ekin = 4.719 (T=12170K) Etot = -3169.187 kcal/mol Step = 0   #VENUS EVIBS: 0.15117160260785803 0.3965170296566344 0.0
@Epot = -3181.815 Ekin = 12.630 (T=32570K) Etot = -3169.185 kcal/mol Step = 0   #VENUS EVIBS: 0.2882542078584133 0.25943442440607906 0.0
@Epot = -3180.833 Ekin = 11.648 (T=30038K) Etot = -3169.184 kcal/mol Step = 0   #VENUS EVIBS: 0.29235645208740946 0.2553321801770829 0.0
@Epot = -3173.562 Ekin = 4.382 (T=11300K) Etot = -3169.180 kcal/mol Step = 0   #VENUS EVIBS: 0.35000035540246793 0.19768827686202436 0.0
@Epot = -3179.122 Ekin = 9.945 (T=25647K) Etot = -3169.176 kcal/mol Step = 0   #VENUS EVIBS: 0.44616025580203345 0.1015283764624589 0.0
@Epot = -3181.682 Ekin = 12.498 (T=32229K) Etot = -3169.185 kcal/mol Step = 0   #VENUS EVIBS: 0.008516710006076506 0.5391719222584158 0.0
@Epot = -3176.786 Ekin = 7.599 (T=19597K) Etot = -3169.186 kcal/mol Step = 0   #VENUS EVIBS: 0.017766273368073047 0.5299223588964194 0.0
@Epot = -3173.794 Ekin = 4.611 (T=11890K) Etot = -3169.184 kcal/mol Step = 0   #VENUS EVIBS: 0.05020262308571677 0.49748600917877567 0.0
@Epot = -3178.752 Ekin = 9.566 (T=24668K) Etot = -3169.186 kcal/mol Step = 0   #VENUS EVIBS: 0.24589181475792382 0.30179681750656856 0.0
@Epot = -3179.345 Ekin = 10.164 (T=26211K) Etot = -3169.181 kcal/mol Step = 0   #VENUS EVIBS: 0.20365951396913604 0.3440291182953563 0.0
@Epot = -3169.607 Ekin = 0.425 (T=1096K) Etot = -3169.183 kcal/mol Step = 0   #VENUS EVIBS: 0.08850613606111075 0.4591824962033816 0.0
@Epot = -3174.198 Ekin = 5.014 (T=12931K) Etot = -3169.184 kcal/mol Step = 0   #VENUS EVIBS: 0.2523704118806724 0.29531822038381994 0.0
@Epot = -3173.103 Ekin = 3.919 (T=10106K) Etot = -3169.184 kcal/mol Step = 0   #VENUS EVIBS: 0.2086680679696546 0.3390205642948378 0.0
@Epot = -3181.415 Ekin = 12.230 (T=31539K) Etot = -3169.185 kcal/mol Step = 0   #VENUS EVIBS: 0.29127668590028466 0.2564119463642077 0.0
@Epot = -3181.815 Ekin = 12.630 (T=32570K) Etot = -3169.185 kcal/mol Step = 0   #VENUS EVIBS: 0.015749842536695452 0.5319387897277968 0.0
@Epot = -3176.284 Ekin = 7.100 (T=18309K) Etot = -3169.184 kcal/mol Step = 0   #VENUS EVIBS: 0.33357403284492326 0.21411459941956906 0.0
@Epot = -3170.962 Ekin = 1.775 (T=4578K) Etot = -3169.187 kcal/mol Step = 0   #VENUS EVIBS: 0.17615366286498976 0.3715349693995026 0.0
@Epot = -3176.204 Ekin = 7.019 (T=18101K) Etot = -3169.185 kcal/mol Step = 0   #VENUS EVIBS: 0.42752236394555854 0.12016626831893389 0.0
@Epot = -3178.969 Ekin = 9.793 (T=25253K) Etot = -3169.177 kcal/mol Step = 0   #VENUS EVIBS: 0.22984275990431421 0.31784587236017814 0.0
@Epot = -3181.491 Ekin = 12.306 (T=31734K) Etot = -3169.185 kcal/mol Step = 0   #VENUS EVIBS: 0.08920429813391031 0.45848433413058204 0.0
@Epot = -3180.574 Ekin = 11.384 (T=29357K) Etot = -3169.189 kcal/mol Step = 0   #VENUS EVIBS: 0.5347878113540658 0.012900820910426472 0.0
@Epot = -3181.815 Ekin = 12.630 (T=32570K) Etot = -3169.185 kcal/mol Step = 0   #VENUS EVIBS: 0.11569542920678272 0.43199320305770966 0.0
@Epot = -3177.142 Ekin = 7.951 (T=20505K) Etot = -3169.191 kcal/mol Step = 0   #VENUS EVIBS: 0.101827588779373 0.4458610434851194 0.0
